handle,name,cluster_primary,cluster_secondary,source,role,cities,photo_aesthetic,video_aesthetic,fashion_aesthetic,mood,connection_to_marquardt,proximity_score,match_tags,notes,url
unarchivedwisdom,unarchivedwisdom,club_techno,gallery_photo,tagged,personal_art_account,"Tbilisi;Berlin",throwback-frames;club-art-doc,,,intimate;memory;club-art,tagged_marquardt_HAERI_2018,79,"club-doc;tbilisi;immersive",2018 HAERI/KHIDI opening post,https://www.instagram.com/unarchivedwisdom/
khidiclub,KHIDI,club_techno,gallery_photo,tagged;research,club_art_space,"Tbilisi;Berlin",exhibition-doc;underground-art,,techno-darkwear,underground;queer-safe;art-club,marquardt_exhibition_nov_2018_goethe,91,"berlin-club;gallery;tbilisi",600sqm show Sven Marquardt Nov 2018,https://www.instagram.com/khidiclub/
platte.berlin,PLATTE Berlin,fashion_berlin,,tagged,fashion_hub_store,"Berlin",event-doc;designer-showcase,feierabend-reels,next-gen-berlin-design;social-fashion,community;next-gen,in_tagged_grid,86,"berlin-fashion;community;memhardstr",Memhardstr 8 next gen fashion hub,https://www.instagram.com/platte.berlin/
ankeschloeder,Anke Schlöder,fashion_berlin,,tagged,platte_board;curator,"Berlin",,,berlin-design-community,institutional-fashion,tagged_post;platte_board_member,83,"berlin-fashion;platte",PLATTE board per platte.berlin/about,https://www.instagram.com/ankeschloeder/
kerstingeffert,Kerstin Geffert,fashion_berlin,pr_editorial,tagged;following,pr_influencer,"Berlin",outfit-daily;loft-lifestyle,reels-style,eclectic-fashion;levis-bash,playful;pr-professional,tagged_marquardt;marquardt_following,77,"fashion-lifestyle;berlin-pr",Silk Relations co-founder @wearstin,https://www.instagram.com/kerstingeffert/
theuerkorn,Theuerkorn / Norman Theuerkorn,music_model,,tagged,musician;model,"Berlin",sw-band-promo;model-shoot,music-video-bw,leather-jacket;silk-shirt;fliegerbrille,cool;undercooled;rock,tagged_marquardt,81,"berlin;model;sw-video",PUMA Hermès model + musician,https://www.instagram.com/theuerkorn/
itsdavidkane,David Kane,pr_editorial,fashion_pfw,tagged,creative_writer,"Berlin;London",editorial;culture-writing,,streetwear-editorial,cultural;editorial,tagged_marquardt,80,"fashion-editorial;adidas;patta",Patta Magazine Dazed Adidas CR,https://www.instagram.com/itsdavidkane/
hannibalstore,Hannibal Store,fashion_berlin,,tagged,streetwear_store,"Torino",product-streetwear,sneaker-reels,carhartt-wip;parra;reebok-collab,streetwear;skate,tagged_marquardt,74,"streetwear;sneakers",Torino concept store not Berlin,https://www.instagram.com/hannibalstore/
photosintese,photosintese,gallery_photo,fashion_berlin,tagged,photography_account,"Berlin;Paris",analog-aesthetic;portrait,,,artistic;photography,tagged_marquardt,76,"photography;analog-bw",Handle suggests photo-art focus,https://www.instagram.com/photosintese/
austral.paris,Austral Paris,fashion_pfw,,tagged,boutique_brand,"Paris",lookbook;paris-fashion,,paris-boutique;minimal,refined;paris,tagged_marquardt,78,"paris-fashion;boutique",Paris fashion account in tagged grid,https://www.instagram.com/austral.paris/
isabellebogomas,Isabelle Bogomas,weak_signal,,tagged,personal_or_creative,"Paris;Berlin",,,,,tagged_marquardt,72,fashion,In tagged grid PFW period,https://www.instagram.com/isabellebogomas/
5pnips.mp3,5pnips.mp3,weak_signal,,tagged,personal_or_dj,"Berlin",,,,,tagged_marquardt,70,berlin-club,In tagged grid,https://www.instagram.com/5pnips.mp3/
cabbage742,cabbage742,weak_signal,,tagged,personal,"Berlin",,,,,tagged_marquardt,65,unknown,In tagged grid low signal,https://www.instagram.com/cabbage742/
visualisation_,visualisation_,fashion_pfw,,tagged_comment,commenter_creative,"Paris",,,,,commented_marquardt_pfw_post,68,pfw,Active on PFW Marquardt posts,https://www.instagram.com/visualisation_/
blackbirdberlin,Blackbird Berlin,fashion_berlin,,tagged_network,concept_store,"Berlin",editorial;store-doc,,berlin-concept-fashion,curated;local,follows_thestyleograph_marquardt_orbit,79,"berlin-fashion;concept-store",Mutual with thestyleograph,https://www.instagram.com/blackbirdberlin/
maluma,Maluma,fashion_pfw,,tagged_context,celebrity,"Paris;Global",celebrity-paparazzi,,luxury-street,luxury;pop,attended_willy_chavarria_with_marquardt,70,pfw;celebrity,Mentioned in antoniolieu/jeremy.melloul tags,https://www.instagram.com/maluma/
michelgaubert,Michel Gaubert,fashion_pfw,,tagged_context,fashion_sound_designer,"Paris",backstage;runway,,high-fashion,institutional,attended_willy_chavarria_with_marquardt,75,pfw;fashion-insider,Legendary fashion show music director,https://www.instagram.com/michelgaubert/
berghain_panoramabar,Berghain / Panorama Bar,club_techno,,following,club_official,"Berlin",minimal-flyer;institutional,,all-black-techno,institutional;underground,marquardt_following,93,"berlin-club;berghain",Official club account in following,https://www.instagram.com/berghain_panoramabar/
andregalluzzi_official,André Galluzzi,club_techno,,following,dj_producer,"Berlin",ostgut-aesthetic,,techno-darkwear,function;hypnotic,marquardt_following;ostgut_artist,81,"berlin-club;techno",Ostgut Ton artist in following,https://www.instagram.com/andregalluzzi_official/
raufaser.atelier,Raufaser Atelier,fashion_berlin,,following,fashion_atelier,"Berlin",installation-doc;minimal-product,event-reels,minimal-black;organic-cotton;handmade,craft;community;platte,marquardt_following;platte_feierabend_partner,84,"berlin-fashion;minimal;platte",PLATTE Feierabend collab Lennart Kuss,https://www.instagram.com/raufaser.atelier/
voostore,Voo Store,fashion_berlin,,following,concept_store,"Berlin",store-editorial;visual-culture,,contemporary-fashion;archive,kreuzberg;curated,marquardt_following,83,"berlin-fashion;concept-store;kreuzberg",Kreuzberg concept store + Voo Space gallery,https://www.instagram.com/voostore/
christoph__faust,Christoph Faust,club_techno,,following,dj;programmer,"Berlin;Kyiv;Tbilisi",podcast;club-doc,,house-minimal,underground;house,marquardt_following;khidi_griessmuehle,82,"berlin-club;house;khidi",K41 Kyiv Khidi Griessmühle resident,https://www.instagram.com/christoph__faust/
rukhglobal,Rukh Global,fashion_berlin,,following,fashion_brand,"Berlin",lookbook,,contemporary-fashion,,marquardt_following,76,berlin-fashion,In following list,https://www.instagram.com/rukhglobal/
anjaschneiderofficial,Anja Schneider,music_model,gallery_photo,following;grid,dj;producer,"Berlin",sw-portrait;exhibition-poster,,darkwear;electronic,conceptual;wagner-collab,heartbroken_project_with_marquardt,85,"berlin;electronic;exhibition",Heartbroken Wagner project in Marquardt grid,https://www.instagram.com/anjaschneiderofficial/
korbinianglacier,Korbinian Glacier,music_model,,following,drummer,"Berlin",sw-portrait;stage,,,intimate;berlin-culture,marquardt_following,72,berlin;music,WAA Berlin interview — drummer not photographer,https://www.instagram.com/korbinianglacier/
soderbergofficial,SÖDERBERG / Richard Söderberg,fashion_berlin,,following,designer,"Berlin",structural-minimal;object-design,,leather;metal;utilitarian-uniform,dystopian;industrial,marquardt_following,86,"avant-garde;leather;berlin-design",Phase Fatale collab; Orimono Berlin previews,https://www.instagram.com/soderbergofficial/
iamlucaeck,Luca Eck,music_model,club_techno,following,musician;producer,"Berlin;Glasgow",sw-editorial;leather-portrait,music-video-dark,leather;horns;gender-fluid,dystopian;industrial-techno,marquardt_following,82,"industrial-techno;leather;berlin",Metal Mag — dark leather aesthetic; Trauma Bar,https://www.instagram.com/iamlucaeck/
richertbeil,RICHERT BEIL,fashion_berlin,,following,fashion_brand,"Berlin",runway-doc;gender-fluid,,inclusive-tailoring;subversive-suit,kreuzberg;activist-fashion,marquardt_following,85,"inclusive-fashion;gender-fluid;berlin",Jale Richert + Michele Beil since 2014,https://www.instagram.com/richertbeil/
sabine_roethig,Sabine Röthig,fashion_pfw,pr_editorial,following,fashion_journalist,"Berlin;Paris;Milan",street-style;pfw-flash,,editorial-streetwear,professional;90s-club-to-pfw,marquardt_following,84,"pfw;fashion-journalist;street-style",Chefkorrespondentin Mode Berliner Zeitung,https://www.instagram.com/sabine_roethig/
ingegrognard,Inge Grognard,fashion_pfw,gallery_photo,following,makeup_artist,"Antwerp;Paris",editorial-beauty;dark-portrait,,margiela-beauty;balenciaga-runway,dark;subversive;antwerp-six,marquardt_following,90,"dark-beauty;margiela;pfw",Legendary makeup artist — Demna/Balenciaga,https://www.instagram.com/ingegrognard/
salty.nacho,Salty Nacho / Ignacio Royo Hernandez,music_model,fashion_berlin,following,musician;creator,"Berlin",rockstar-outfit;stage,,metal-fashion;street-rock,cool;berlin-metal,marquardt_following,80,"metal;rockstar-fashion;berlin",Frontman Salvajes — fashion content creator,https://www.instagram.com/salty.nacho/
numero_netherlands,Numéro Netherlands,fashion_pfw,fashion_berlin,following,fashion_magazine,"Amsterdam;Berlin",editorial;event-doc,,avant-garde;luxury,luxury;editorial,marquardt_following;soderberg_events,82,"numero;editorial;berlin-fashion",Söderberg preview coverage; Numéro orbit,https://www.instagram.com/numero_netherlands/
studioxnoire,Studio X Noire,gallery_photo,,following,gallery_la,"Los Angeles",exhibition-doc;sw-print,,gallery-formal,institutional,c24_marquardt_die_nacht_ist_leben,78,"gallery;la;marquardt-exhibition",C24 Gallery Marquardt event Jan 2024,https://www.instagram.com/studioxnoire/
flieder_und_beton,SOFTMOTIV / flieder_und_beton,weak_signal,,following,events_promo,"Berlin",,,,,marquardt_following,62,berlin-events,Low signal — artist event dates Berlin,https://www.instagram.com/flieder_und_beton/
